wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5533533533533500,-563.1862320104010,-584.3239991829580,-552.617348424122,-594.8928827692370
1.5534534534534500,-563.2313548665970,-584.1448603075970,-552.7746021460980,-594.6016130280960
1.5535535535535500,-563.2765344996010,-583.965684351827,-552.9319595734880,-594.31025927794
1.5536536536536500,-563.3217703168640,-583.786471987088,-553.0894195398830,-594.0188228803320
1.5537537537537500,-563.3670628863570,-583.607222259232,-553.2469831999190,-593.7273019456700
1.553853853853850,-563.4124127793620,-583.4279346758340,-553.4046517148460,-593.4356955077890
1.553953953953950,-563.4578192869090,-583.2486104898920,-553.562423685417,-593.1440060913840
1.5540540540540500,-563.5032820475820,-583.0692494440670,-553.7202984074900,-592.8522332004580
1.5541541541541500,-563.5488023290620,-582.8898502332860,-553.878278435118,-592.5603742435660
1.5542542542542500,-563.5943787250730,-582.7104142263490,-554.0363609744350,-592.2684319769870
1.5543543543543500,-563.6400111082860,-582.5309413968520,-554.1945457894820,-591.9764063666140
1.5544544544544500,-563.685701674496,-582.3514305587800,-554.35283729054,-591.6842950591070
1.5545545545545500,-563.731448669595,-582.1718822653450,-554.5112319880740,-591.3920991795730
1.5546546546546500,-563.7772511521960,-581.9922970714310,-554.6697280180020,-591.0998198564740
1.5547547547547500,-563.8231112022880,-581.8126746053230,-554.8283295589930,-590.807456365063
1.5548548548548500,-563.8690276465070,-581.6330147226820,-554.9870342830130,-590.5150084353630
1.554954954954960,-563.9150005894120,-581.4533168160630,-555.1458424178640,-590.2224748711670
1.555055055055060,-563.9610303685030,-581.2735816746080,-555.3047546572460,-589.9298572694560
1.5551551551551600,-564.0071161577760,-581.0938095046990,-555.4637693678330,-589.6371560616810
1.5552552552552600,-564.0532596910690,-580.9139990012140,-555.6228900359960,-589.3443686562860
1.5553553553553600,-564.0994597926710,-580.7341513024780,-555.7821143290050,-589.0514973486200
1.5554554554554600,-564.1457147060150,-580.5542666132160,-555.9414387524140,-588.7585425668170
1.5555555555555600,-564.1920265150070,-580.3743440935080,-556.1008674927230,-588.4655026497240
1.5556556556556600,-564.2383963712080,-580.1943834866960,-556.2604028717400,-588.1723771027160
1.5557557557557600,-564.2848222842190,-580.0143849979250,-556.420040927366,-587.8791663547780
1.555855855855860,-564.3313041262470,-579.8343493001910,-556.5797814227030,-587.5858717705910
1.555955955955960,-564.3778423519430,-579.6542767174910,-556.7396252857400,-587.2924940168370
1.5560560560560600,-564.4244370657730,-579.4741659423150,-556.8995727441110,-586.9990304971930
1.556156156156160,-564.4710888384780,-579.2940164829010,-557.0596249579710,-586.7054802468170
1.5562562562562600,-564.5177967258130,-579.1138297124650,-557.2197800575300,-586.4118460308340
1.5563563563563600,-564.5645611840290,-578.9336056041180,-557.3800389739850,-586.1181278141630
1.5564564564564600,-564.6113822015210,-578.7533435489410,-557.540401702805,-585.8243243976450
1.5565565565565600,-564.65825871613,-578.573043754956,-557.7008661383680,-585.5304362160200
1.5566566566566600,-564.7051925824850,-578.3927057302430,-557.8614360086230,-585.2364623041410
1.5567567567567600,-564.7521833223740,-578.2123294488860,-558.0221103758350,-584.9424026288590
1.5568568568568600,-564.7992289430730,-578.0319159325540,-558.1828852732480,-584.6482592522100
1.556956956956960,-564.8463314141760,-577.8514646915780,-558.3437646587400,-584.3540312135440
1.5570570570570600,-564.8934907242050,-577.6709755834680,-558.5047485280440,-584.0597182465690
1.5571571571571600,-564.9407063957320,-577.4904476475170,-558.6658359449960,-583.7653184485660
1.5572572572572600,-564.9879783002550,-577.3098810911160,-558.8270266712820,-583.4708322530030
1.5573573573573600,-565.0353059604310,-577.1292779890630,-558.9883197709040,-583.1762638281670
1.5574574574574600,-565.0826905305310,-576.9486366829860,-559.1497175710930,-582.8816098760030
1.5575575575575600,-565.1301316488800,-576.7679564459370,-559.3112193671960,-582.5868689613100
1.5576576576576600,-565.1776283705800,-576.5872386523810,-559.4728232881010,-582.2920438517030
1.5577577577577600,-565.2251809183300,-576.4064829254970,-559.634529797903,-581.9971338122360
1.557857857857860,-565.2727905623670,-576.2256887756140,-559.7963414557610,-581.7021378822560
1.557957957957960,-565.3204569421750,-576.0448558247010,-559.9582575593340,-581.4070553243870
1.558058058058060,-565.3681786475230,-575.8639849782200,-560.1202753068530,-581.1118879682470
1.5581581581581600,-565.4159561310950,-575.683077148537,-560.2823956223740,-580.8166376572580
1.5582582582582600,-565.4637906658790,-575.5021303241790,-560.4446210705630,-580.5213003871620
1.5583583583583600,-565.5116817736990,-575.3211440105770,-560.606950713755,-580.2258751875110
1.5584584584584600,-565.5596285089540,-575.1401199340620,-560.7693826794470,-579.9303655296630
1.5585585585585600,-565.6076309776540,-574.9590583022970,-560.9319171983430,-579.6347718476290
1.5586586586586600,-565.6556898686050,-574.7779580383790,-561.0945556667460,-579.3390920062950
1.5587587587587600,-565.7038056358340,-574.5968190016770,-561.257299011408,-579.0433257430920
1.558858858858860,-565.7519769849160,-574.4156420984200,-561.420144662161,-578.7474748891690
1.558958958958960,-565.8002039041890,-574.2344264838210,-561.5830926143740,-578.451537773637
1.5590590590590600,-565.8484870807890,-574.0531723692520,-561.7461442610010,-578.1555148379270
1.5591591591591600,-565.896826856213,-573.8718799611600,-561.9093003037400,-577.8594065136330
